Time,propulsion/engine[0]/thrust-N,propulsion/tank[0]/contents-kg,position/h-agl-m,velocities/vc-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg
46.6,0,0,2353.31352533319659,128.016486105901663,-55.7336845879434222,-76.3126800311569582,342.370868944183997
46.7,0,0,2338.32951447907089,128.615965038774249,-57.4923256563085019,-75.6466882692567566,344.184106473482643
46.8,0,0,2323.28432891089096,129.21399597126657,-58.9776561894460869,-75.0467414339830299,345.719993367561585
46.9,0,0,2308.17854494731728,129.810550203518289,-60.2284086510852745,-74.5411573626069099,347.016762587351479
47,0,0,2293.01268084794447,130.405603391827526,-61.2700573367789119,-74.1528390916398052,348.099178042508356
47.1,0,0,2277.78718721136102,130.999136103574557,-62.1123238694044773,-73.8986159395852127,348.975926844765524
47.2,0,0,2262.50244562232092,131.591133743340919,-62.7493517789009019,-73.7890223283962712,349.639800820237895
47.3,0,0,2247.15877521887114,132.18158573361481,-63.1616389524098665,-73.828413541523247,350.069770326712614
47.4,0,0,2231.75644540112944,132.770484494168073,-63.319113060733315,-74.0152968378815928,350.23431113313012
47.5,0,0,2216.29569199020216,133.35782398690867,-63.1849259651972659,-74.3427662064992489,350.095502210889038
47.6,0,0,2200.77673360690051,133.94359827317561,-62.7196526910761563,-74.7989783855377652,349.61350357046615
47.7,0,0,2185.19978514203603,134.527800512347568,-61.8856545920830996,-75.3676729818111824,348.751101211202297
47.8,0,0,2169.56506615728586,135.110422332281161,-60.6514427686561959,-76.0287889034261184,347.478107944165799
47.9,0,0,2153.87280319549609,135.691453767284997,-58.9959770184111179,-76.7592389487328575,345.775546641567189
48,0,0,2138.12322641044102,136.270883705738356,-56.9129635399348075,-77.5338676267927838,343.639710284785906
48.1,0,0,2122.31656219523938,136.848700705893691,-54.4153670084390342,-78.326556867267314,341.086374375797732
48.2,0,0,2106.45302428125569,137.4248939657775,-51.5404911971580333,-79.1113963489388539,338.155585395584012
48.3,0,0,2090.53280622725651,137.999454203147224,-48.3559772986123093,-79.8638284436203065,334.917432832198074
48.4,0,0,2074.55607787855206,138.572374220345267,-44.9666429596847053,-80.5617092527248815,331.478759700204137
48.5,0,0,2058.52298771606502,139.143648991302257,-41.5208829862430377,-81.1862534219515339,327.989532637832212
48.6,0,0,2042.43367171894761,139.713275205869195,-38.2133209931299049,-81.7227915530018265,324.645534780281992
48.7,0,0,2026.28826815473167,140.281250320157653,-35.278439084004809,-82.1611516577439858,321.682069663496577
48.8,0,0,2010.08693620285817,140.847571270615248,-32.9700799583628523,-82.4953782103932127,319.353534660375431
48.9,0,0,1993.8298754478808,141.412233088967895,-31.5258545942432882,-82.7226096889426685,317.897875939632684
49,0,0,1977.51734289436831,141.975227689771231,-31.1227170752229867,-82.8413453720967112,317.492183824986512
49.1,0,0,1961.14966441455272,142.536543036633105,-31.8363035482055352,-82.8498510150924545,318.212036409125631
49.2,0,0,1944.72723872206825,143.096162948945675,-33.6182789150842538,-82.7456494158051896,320.008849106637285
49.3,0,0,1928.25053313972057,143.65406742153823,-36.3017979214034554,-82.5266102044673318,322.715344002623965
49.4,0,0,1911.7200722016596,144.210233552800844,-39.635790253946297,-82.1932747643081427,326.079844131604546
49.5,0,0,1895.13642117578479,144.764636796242428,-43.3366915016824876,-81.7513340590354574,329.818001712584646
49.6,0,0,1878.50016746903339,145.317252328278812,-47.1384686770978405,-81.213169007754658,333.66279734574664
49.7,0,0,1861.8119030215264,145.868056273912941,-50.8250522363300092,-80.5980054275908202,337.396922409545539
49.8,0,0,1845.07221025285389,146.417026580463101,-54.2409935951486446,-79.930938648554843,340.863381986181196
49.9,0,0,1828.28165322018094,146.964143414028428,-57.2864682600707198,-79.241363892376242,343.960471887621111
50,0,0,1811.44077434025485,147.509389064309886,-59.9056601384308891,-78.5612250481122203,346.630201955193627
50.1,0,0,1794.5500956323599,148.052747456004596,-62.0749051462156274,-77.9232610684471325,348.846566841523668
50.2,0,0,1777.61012251024431,148.594203452421453,-63.7931768008060871,-77.3592935417007226,350.606242328161727
50.3,0,0,1760.62134750478117,149.133742179959626,-65.0750301933405382,-76.89858163067845,351.921786495298079
50.4,0,0,1743.5842515746067,149.671348587158803,-65.9451888583462704,-76.5662997563329242,352.816469135468139
50.5,0,0,1726.49930138021455,150.207007384427811,-66.4339161725319798,-76.3822061930255245,353.319805579058766
50.6,0,0,1709.36694224569442,150.740703409836584,-66.5725891092327231,-76.3595507247867999,353.463166875065156
50.7,0,0,1692.18758775963624,151.272422319235744,-66.3892042078879996,-76.5042366671453635,353.275188235946757
50.8,0,0,1674.96160816849647,151.802151520147447,-65.9038116672608822,-76.8142361531613602,352.777006142611469
50.9,0,0,1657.68932022866056,152.329880980092611,-65.124108066023183,-77.2792708573060452,351.977619546365361
51,0,0,1640.3709812334796,152.855603834116039,-64.0416851476251026,-77.8808065164287342,350.869943780195115
51.1,0,0,1623.00678916868173,153.37931653285807,-62.6298367072830189,-78.5924450415206479,349.428510407638555
51.2,0,0,1605.59688990847872,153.901018486365075,-60.8445115459207102,-79.3808184654365618,347.610414645006131
51.3,0,0,1588.14139085103579,154.420711238533926,-58.6310751869760409,-80.2070980771428026,345.362147469141235
51.4,0,0,1570.64037922787043,154.938397317207631,-55.9408001262822623,-81.0292503620062661,342.636181163633239
51.5,0,0,1553.09394226055315,155.454078976284933,-52.7612447005780112,-81.805195722251753,339.42141448120293
51.6,0,0,1535.50218626940455,155.967757064925536,-49.1608469395358156,-82.4969548828509289,335.787768142289281
51.7,0,0,1517.86525202399343,156.480097124703434,-45.3363242848500079,-83.0754570392584384,331.933515844670467
51.8,0,0,1500.18332701777649,156.99174314307723,-41.6383615830650626,-83.5250604743666258,328.210883725245083
51.9,0,0,1482.45664962944716,157.501380672102869,-38.5349152413036293,-83.8449653317768195,325.089220450209154
52,0,0,1464.68550332524819,158.008999091495042,-36.5005895034828995,-84.044655185277108,323.044192632253157
52.1,0,0,1446.8702119070806,158.514587321251099,-35.8927637972103994,-84.1354808762294937,322.433825750734002
52.2,0,0,1429.01113520919762,159.018134369548989,-36.8602582690120997,-84.1222707736969113,323.407129406234219
52.3,0,0,1411.10866653813082,159.519630006072191,-39.3025876029800187,-83.99964509484046,325.863341382738838
52.4,0,0,1393.16323260081458,160.019064388880452,-42.8834450947356984,-83.7553228245715218,329.465426096083263
52.5,0,0,1375.17529538308986,160.516427793916648,-47.1094327348846491,-83.3788586591596612,333.718846417138082
52.6,0,0,1357.1453544785129,161.011709950324729,-51.4644902874262726,-82.870975360055553,338.106071514525809
52.7,0,0,1339.07394774124032,161.504899424907705,-55.5410987435047403,-82.2484952397713585,342.217900974581653
52.8,0,0,1320.96164836641196,161.995983244374344,-59.1030337711387261,-81.5433218557227804,345.816370257637686
52.9,0,0,1302.80905712458866,162.484946908398911,-62.0701108198755165,-80.797606715458258,348.819650176399421
53,0,0,1284.61678966815339,162.971774837572866,-64.4636455605877501,-80.0580728997136077,351.247625234561553
53.1,0,0,1266.38546008192088,163.456451179848159,-66.3518805779047511,-79.371178211340947,353.16737005836643
53.2,0,0,1248.11566269480659,163.938960802323436,-67.8122308318016138,-78.7794795166284558,354.655368987930331
