Time,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/aero/alpha-rad,velocities/vtrue-ms,velocities/vg-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg,aero/qbar-Pa
37.71,40.241389111381217,139.990247545353213,3230.92167417205292,-5.8327731797937656e-05,98.9668352508751497,32.2155923842226954,-36.4914642125032032,-70.8165531707382883,248.939592384404449,4348.03440916549607
37.72,40.2413890946964656,139.990243751159085,3229.99134153491559,-5.56168822676253013e-05,99.0364570305082736,32.2082054190056724,-36.4644174892229032,-70.8419917282752181,248.911013031060236,4354.57315807153191
37.73,40.2413890782049748,139.990239957835172,3229.06023971098966,-5.29884524626027188e-05,99.1060905094242202,32.2008259580547076,-36.4382640764274939,-70.8671529076449644,248.883383676223616,4361.11879696063988
37.74,40.241389061906446,139.990236165380622,3228.1283687377454,-5.04570592545067526e-05,99.1757345468795961,32.1934536134270601,-36.4130177320240236,-70.892035996408481,248.856718539505465,4367.67123072317918
37.75,40.241389045800652,139.99023237379464,3227.1957286549241,-4.80367101246523579e-05,99.2453878094193698,32.1860879327922476,-36.3886919021840711,-70.9166403129717651,248.831031509644276,4374.23034694430953
37.76,40.241389029887344,139.990228583076487,3226.26231951362206,-4.57407151816170929e-05,99.315048778429329,32.1787284022300923,-36.3652997151892308,-70.9409651996624859,248.806336138344221,4380.79601649800588
37.77,40.2413890141662947,139.99022479322548,3225.32814139105085,-4.35816033730650207e-05,99.3847157588792669,32.1713744494184368,-36.3428539755657098,-70.9650100160425836,248.782645634415161,4387.36809424670719
37.78,40.2413889986373192,139.990221004241079,3224.39319436555797,-4.1571043437410216e-05,99.4543868892075551,32.1640254471932536,-36.3213671584597506,-70.9887741325084534,248.759972858164531,4393.9464198634596
37.79,40.2413889833001903,139.990217216122687,3223.45747854387764,-3.97197700911650143e-05,99.5240601522917672,32.1566807174602616,-36.3008514042095527,-71.012256924227259,248.738330315992528,4400.5308187306
37.8,40.2413889681548014,139.990213428869907,3222.5209940486402,-3.80375159393720651e-05,99.5937333874411053,32.1493395354340592,-36.2813185130662532,-71.0354577654573376,248.717730155141481,4407.12110295146704
37.81,40.2413889532010103,139.99020964248237,3221.58374102291464,-3.65329495460632806e-05,99.6634043033397461,32.1420011341790328,-36.2627799400159745,-71.0583760242968339,248.698184158548571,4413.71707244367462
37.82,40.2413889384387318,139.990205856959818,3220.64571962907348,-3.52136200644721152e-05,99.7330704918654476,32.1346647094246762,-36.2452467896582959,-71.0810110579019891,248.679703739754387,4420.3185161180254
37.83,40.2413889238678664,139.990202072302054,3219.70693005673911,-3.40859088128994035e-05,99.8027294427002261,32.1273294246272343,-36.2287298110945386,-71.1033622082152732,248.662299937818574,4426.92521312939698
37.84,40.241388909488407,139.990198288509106,3218.76737251824443,-3.31549880981593862e-05,99.8723785586443285,32.1199944162438271,-36.2132393927852263,-71.125428798237138,248.64598341219903,4433.53693420200943
37.85,40.2413888953003465,139.990194505580916,3217.82704724749647,-3.24247875866541784e-05,99.942015171540632,32.1126587991890844,-36.1987855573348298,-71.1472101288730556,248.630764437551761,4440.15344301381992
37.86,40.241388881303692,139.990190723517685,3216.88595450111052,-3.18979684545496985e-05,100.011636558711629,32.1053216724393948,-36.1853779561685869,-71.1687054763846021,248.616652898412639,4446.77449763235654
37.87,40.2413888674984861,139.990186942319639,3215.94409456976655,-3.15759055027012037e-05,100.081239959807576,32.0979821247492296,-36.1730258640691247,-71.1899140904674113,248.603658283729118,4453.39985198936665
37.88,40.2413888538848497,139.990183161987147,3215.00146776117708,-3.14586773817473829e-05,100.150822593959788,32.0906392404444034,-36.1617381735436041,-71.2108351929738177,248.59178968120915,4460.02925740290175
37.89,40.2413888404628963,139.990179382520722,3214.05807441143997,-3.15450650222572965e-05,100.22038167713238,32.0832921052562128,-36.1515233889992089,-71.2314679772973278,248.581055771465259,4466.66246411140037
37.9,40.2413888272327611,139.990175603920875,3213.11391488731215,-3.18325583003020222e-05,100.289914439562935,32.0759398121582961,-36.1423896207095439,-71.25181160842628,248.571464821935223,4473.29922282723328
37.91,40.241388814194643,139.990171826188316,3212.16898957371723,-3.23173709361514736e-05,100.359418143179539,32.0685814671692384,-36.1343445785595634,-71.2718652236740269,248.5630246805664,4479.9392863024641
37.92,40.2413888013487551,139.99016804932387,3211.22329888396598,-3.2994463560619235e-05,100.428890098884096,32.0612161950844836,-36.1273955655632761,-71.2916279340829817,248.555742769256653,4486.58241087957776
37.93,40.2413887886953603,139.990164273328361,3210.27684325521295,-3.38575748415300873e-05,100.498327683589395,32.0538431451005579,-36.1215494711549923,-71.3110988265020183,248.549626077054796,4493.2283580343983
37.94,40.2413887762347144,139.990160498202812,3209.32962314959468,-3.48992604945828872e-05,100.567728356898854,32.0464614962936949,-36.1168127642603949,-71.3302769663232397,248.544681153125083,4499.87689589167985
37.95,40.2413887639671302,139.990156723948303,3208.38163905195597,-3.61109399702487296e-05,100.637089677320191,32.0390704629188718,-36.1131914861609644,-71.3491614008676152,248.540914099490635,4506.52780070760036
37.96,40.2413887518929485,139.990152950565999,3207.43289146871575,-3.7482950552518077e-05,100.70640931790453,32.0316692994936076,-36.1106912431706064,-71.3677511633980117,248.538330563576665,4513.18085830721429
37.97,40.2413887400125319,139.99014917805718,3206.48338092900212,-3.90046085490267913e-05,100.775685081208081,32.0242573056329505,-36.109317199151775,-71.3860452777364998,248.536935730579728,4519.835865466619
37.98,40.2413887283262426,139.990145406423153,3205.53310797784025,-4.06642772137469279e-05,100.844914913474156,32.0168338306033249,-36.109074067901247,-71.4040427634578663,248.536734315697146,4526.4926312352809
37.99,40.2413887168345141,139.990141635665339,3204.58207317955794,-4.24494410029806337e-05,100.914096917939162,32.0093982775652819,-36.1099661054440091,-71.4217426416262811,248.537730556254672,4533.15097818081995
38,40.2413887055377657,139.990137865785243,3203.6302771223277,-4.43467856947670581e-05,100.983229367172854,32.0019501074757926,-36.1119971022784512,-71.4391439410385658,248.539928203779169,4539.81074355208057
38.01,40.2413886944364307,139.990134096784402,3202.6777204,-4.63422839061046374e-05,101.052310714363642,31.9944888426234328,-36.1151703756205293,-71.4562457049328543,248.543330516065055,4546.47178036304649
38.02,40.2413886835309995,139.990130328664378,3201.72440362118505,-4.84212854555322614e-05,101.121339603472094,31.9870140697721652,-36.1194887616990528,-71.4730469981183205,248.547940249290008,4553.13395836690324
38.03,40.2413886728219126,139.990126561426848,3200.77032741266203,-5.0568612025120397e-05,101.190314878177944,31.9795254428917346,-36.1249546081594772,-71.4895469144783249,248.553759650238646,4559.79716492815351
38.04,40.2413886623096815,139.990122795073461,3199.81549240348068,-5.27686555093679778e-05,101.259235589556397,31.972022685455137,-36.131569766634513,-71.5057445847962612,248.560790448696224,4566.4613057929655
38.05,40.2413886519947965,139.990119029605921,3198.85989923631587,-5.50054794405545376e-05,101.328101002417043,31.9645055922842509,-36.1393355855444582,-71.5216391848500024,248.569033850077545,4573.12630572915987
38.06,40.2413886418777551,139.990115265025935,3197.90354855497799,-5.72629228245864357e-05,101.396910600296465,31.9569740309408701,-36.1482529031904036,-71.5372299437194954,248.578490528356838,4579.79210905839045
38.07,40.2413886319590546,139.990111501335292,3196.94644100895539,-5.95247057403939486e-05,101.465664088981725,31.949427942628791,-36.15832204120548,-71.552516152250476,248.58916061936668,4586.4586800495108
38.08,40.2413886222392136,139.990107738535698,3195.98857724887148,-6.17745359875310055e-05,101.534361398620064,31.9418673426242279,-36.1695427984301645,-71.5674971716136668,248.601043714535507,4593.12600318969817
38.09,40.2413886127187439,139.990103976628887,3195.02995792534966,-6.3996216107883855e-05,101.603002684344688,31.9342923202162261,-36.1819144452734633,-71.5821724419012071,248.614138855126271,4599.79408332042658
38.1,40.2413886033981285,139.990100215616565,3194.07058368560683,-6.61737500627039549e-05,101.671588325416892,31.926703038158383,-36.1954357186251556,-71.5965414906978737,248.628444527046668,4606.46294564019263
38.11,40.2413885942778649,139.990096455500435,3193.11045517345383,-6.82914488553164003e-05,101.740118922881109,31.9190997316347911,-36.2101048173786353,-71.6106039415674616,248.643958656291034,4613.132635570415
38.12,40.2413885853584361,139.990092696282176,3192.14957302361745,-7.03340344026082116e-05,101.808595295740488,31.9114827067441347,-36.2259193986214498,-71.6243595223939735,248.660678605073798,4619.80321848858239
38.13,40.2413885766403254,139.990088937963407,3191.18793786514698,-7.228674093950763e-05,101.877018475670297,31.9038523385107204,-36.2428765745467771,-71.6378080735170215,248.678601168710401,4626.47477932265701
38.14,40.2413885681239734,139.990085180545663,3190.22555031233151,-7.41354132863959584e-05,101.945389700296417,31.8962090684339188,-36.2609729101349529,-71.6509495556046829,248.697722573295749,4633.14742201867375
38.15,40.2413885598098418,139.990081424030478,3189.26241096923968,-7.58666012857073225e-05,102.013710405077234,31.88855340159067,-36.2802044216461894,-71.6637840572061862,248.718038474224358,4639.82126887190952
38.16,40.2413885516983356,139.99007766841936,3188.29852042517996,-7.7467649780264136e-05,102.081982213835403,31.8808859033096432,-36.3005665759641047,-71.6763118019316039,248.739543955591216,4646.49645973605311
38.17,40.2413885437898671,139.990073913713644,3187.33387925583429,-7.89267834889272697e-05,102.150206927996322,31.8732071954368266,-36.3220542908173698,-71.6885331552053913,248.762233530503892,4653.17315110774416
38.18,40.2413885360848056,139.990070159914637,3186.36848801304131,-8.02331861978600435e-05,102.218386514598834,31.8655179522166847,-36.3446619359024723,-71.7004486305474416,248.786101142327425,4659.85151510016294
38.19,40.2413885285835207,139.990066407023562,3185.40234723614776,-8.13770737010002489e-05,102.286523093153647,31.8578188958155444,-36.3683833349238199,-71.7120588953355167,248.811140166880676,4666.5317382959629
38.2,40.2413885212863107,139.990062655041612,3184.43545743725008,-8.23497599804050713e-05,102.354618921431239,31.8501107915162862,-36.3932117685553607,-71.7233647760085375,248.837343415586446,4673.21402050961751
38.21,40.2413885141934955,139.990058903969782,3183.46781910800655,-8.31437161342009985e-05,102.422676380271511,31.842394442614836,-36.4191399783247363,-71.7343672626747235,248.864703139577301,4679.89857344391476
38.22,40.2413885073053308,139.990055153809038,3182.49943272190694,-8.375262164393409e-05,102.490697957512182,31.8346706850534176,-36.4461601714059711,-71.7450675130915982,248.893211034741768,4686.58561926178481
38.23,40.2413885006220653,139.990051404560205,3181.53029872519073,-8.41714075862155017e-05,102.558686231141166,31.8269403818248584,-36.4742640263043612,-71.7554668559916138,248.922858247693739,4693.27538908582756
38.24,40.2413884941439122,139.99004765622405,3180.56041753684576,-8.43962914685469532e-05,102.626643851784223,31.8192044171858548,-36.5034426994039904,-71.7655667937306418,248.953635382633536,4699.96812142557883
38.25,40.2413884878710206,139.990043908801226,3179.58978955655721,-8.44248034314452238e-05,102.694573524643005,31.8114636907179182,-36.5336868323426316,-71.7753690042428332,248.985532509064484,4706.66406054326035
38.26,40.2413884818035683,139.990040162292217,3178.61841515221613,-8.425580358709289e-05,102.762477991004602,31.8037191112754343,-36.5649865601684994,-71.7848753422902064,249.018539170316274,4713.36345478262683
