Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
-3.100342602,-3.100342602,0,4.384546556,171,
-3.104362506,-3.104362506,0,4.390231559,172,
-3.108364273,-3.108364273,0,4.395890912,173,
-3.112348089,-3.112348089,0,4.401524879,174,
-3.116314138,-3.116314138,0,4.407133718,175,
-3.120262598,-3.120262598,0,4.412717684,176,
-3.124193647,-3.124193647,0,4.418277027,177,
-3.12810746,-3.12810746,0,4.423811995,178,
-3.132004209,-3.132004209,0,4.42932283,179,
-3.135884063,-3.135884063,0,4.434809772,180,
-3.139747188,-3.139747188,0,4.440273056,181,
-3.143593748,-3.143593748,0,4.445712913,182,
-3.147423905,-3.147423905,0,4.451129573,183,
-3.151237818,-3.151237818,0,4.45652326,184,
-3.155035643,-3.155035643,0,4.461894195,185,
-3.158817534,-3.158817534,0,4.467242598,186,
-3.162583644,-3.162583644,0,4.472568681,187,
-3.166334122,-3.166334122,0,4.477872659,188,
-3.170069116,-3.170069116,0,4.483154738,189,
-3.173788771,-3.173788771,0,4.488415125,190,
-3.177493231,-3.177493231,0,4.493654021,191,
-3.181182636,-3.181182636,0,4.498871628,192,
-3.184857126,-3.184857126,0,4.504068141,193,
-3.188516837,-3.188516837,0,4.509243755,194,
-3.192161905,-3.192161905,0,4.51439866,195,
-3.195792464,-3.195792464,0,4.519533045,196,
-3.199408644,-3.199408644,0,4.524647096,197,
-3.203010575,-3.203010575,0,4.529740995,198,
-3.206598384,-3.206598384,0,4.534814924,199,
-3.210172198,-3.210172198,0,4.539869061,200,
-3.213732141,-3.213732141,0,4.54490358,201,
-3.217278335,-3.217278335,0,4.549918656,202,
-3.220810902,-3.220810902,0,4.554914459,203,
-3.224329959,-3.224329959,0,4.559891157,204,
-3.227835624,-3.227835624,0,4.564848917,205,
-3.231328015,-3.231328015,0,4.569787903,206,
-3.234807244,-3.234807244,0,4.574708276,207,
-3.238273425,-3.238273425,0,4.579610196,208,
-3.241726668,-3.241726668,0,4.58449382,209,
-3.245167085,-3.245167085,0,4.589359304,210,
-3.248594783,-3.248594783,0,4.5942068,211,
-3.252009869,-3.252009869,0,4.599036461,212,
-3.255412448,-3.255412448,0,4.603848436,213,
-3.258802626,-3.258802626,0,4.608642871,214,
-3.262180505,-3.262180505,0,4.613419912,215,
-3.265546185,-3.265546185,0,4.618179704,216,
-3.268899769,-3.268899769,0,4.622922387,217,
-3.272241353,-3.272241353,0,4.627648101,218,
-3.275571037,-3.275571037,0,4.632356985,219,
-3.278888917,-3.278888917,0,4.637049175,220,
-3.282195087,-3.282195087,0,4.641724806,221,
-3.285489642,-3.285489642,0,4.64638401,222,
-3.288772674,-3.288772674,0,4.65102692,223,
-3.292044276,-3.292044276,0,4.655653663,224,
-3.295304538,-3.295304538,0,4.66026437,225,
-3.298553549,-3.298553549,0,4.664859166,226,
-3.301791398,-3.301791398,0,4.669438176,227,
-3.305018172,-3.305018172,0,4.674001523,228,
-3.308233957,-3.308233957,0,4.67854933,229,
-3.311438839,-3.311438839,0,4.683081717,230,
-3.314632901,-3.314632901,0,4.687598803,231,
-3.317816227,-3.317816227,0,4.692100705,232,
-3.320988898,-3.320988898,0,4.69658754,233,
-3.324150996,-3.324150996,0,4.701059422,234,
-3.327302602,-3.327302602,0,4.705516465,235,
