    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.023    0.023 _typing.py:1(<module>)
       64    0.001    0.000    0.023    0.000 shutil.py:230(copyfile)
        1    0.000    0.000    0.022    0.022 string.py:153(_fit_strcols_to_terminal_width)
  468/404    0.001    0.000    0.022    0.000 indexing.py:1176(__getitem__)
1866/1711    0.001    0.000    0.022    0.000 typing.py:392(inner)
       64    0.001    0.000    0.021    0.000 process.py:802(submit)
     1823    0.005    0.000    0.021    0.000 construction.py:517(sanitize_array)
       64    0.000    0.000    0.021    0.000 process.py:768(_adjust_process_count)
        8    0.000    0.000    0.020    0.003 process.py:791(_spawn_process)
        1    0.000    0.000    0.020    0.020 _pickle.py:1(<module>)
       70    0.017    0.000    0.020    0.000 c_parser_wrapper.py:60(__init__)
      475    0.002    0.000    0.020    0.000 textwrap.py:419(dedent)
        8    0.000    0.000    0.020    0.002 process.py:110(start)
      100    0.000    0.000    0.019    0.000 _compiler.py:745(compile)
        1    0.000    0.000    0.019    0.019 xml_renderer.py:1(<module>)
      156    0.000    0.000    0.019    0.000 __init__.py:226(compile)
        8    0.000    0.000    0.019    0.002 context.py:286(_Popen)
     2190    0.001    0.000    0.019    0.000 base.py:7593(ensure_index)
        3    0.002    0.001    0.018    0.006 _schema_validator.py:22(create_schema_validator)
      325    0.016    0.000    0.018    0.000 {built-in method _io.open}
        1    0.000    0.000    0.018    0.018 _index_tricks_impl.py:1(<module>)
      420    0.003    0.000    0.017    0.000 base.py:475(__new__)
       68    0.000    0.000    0.017    0.000 format.py:1471(_format_strings)
       68    0.000    0.000    0.017    0.000 format.py:1343(get_result_as_array)
     2547    0.001    0.000    0.017    0.000 minidom.py:303(_write_data)
     1478    0.001    0.000    0.017    0.000 minidom.py:1114(writexml)
       73    0.000    0.000    0.017    0.000 construction.py:96(arrays_to_mgr)
        1    0.000    0.000    0.017    0.017 environment.py:1(<module>)
      694    0.017    0.000    0.017    0.000 {built-in method _io.open_code}
       34    0.000    0.000    0.016    0.000 typing_extensions.py:3191(__call__)
        1    0.000    0.000    0.016    0.016 process.py:827(map)
       69    0.000    0.000    0.016    0.000 format.py:1397(format_values_with)
        1    0.000    0.000    0.016    0.016 _base.py:583(map)
       64    0.001    0.000    0.015    0.000 _base.py:314(_result_or_cancel)
    26751    0.015    0.000    0.015    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.015    0.015 defmatrix.py:1(<module>)
       55    0.000    0.000    0.014    0.000 dataclasses.py:1264(wrap)
       55    0.001    0.000    0.014    0.000 dataclasses.py:921(_process_class)
       64    0.000    0.000    0.014    0.000 _base.py:428(result)
        1    0.000    0.000    0.014    0.014 _linalg.py:1(<module>)
       69    0.001    0.000    0.013    0.000 format.py:1805(_trim_zeros_float)
        8    0.000    0.000    0.013    0.002 popen_spawn_posix.py:30(__init__)
        1    0.000    0.000    0.013    0.013 multiarray.py:1(<module>)
       64    0.000    0.000    0.013    0.000 indexing.py:1397(_getitem_axis)
       93    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
        8    0.001    0.000    0.013    0.002 popen_fork.py:15(__init__)
      100    0.013    0.000    0.013    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
       64    0.000    0.000    0.013    0.000 indexing.py:1379(_get_label)
       64    0.000    0.000    0.012    0.000 generic.py:4159(xs)
       64    0.000    0.000    0.012    0.000 shutil.py:92(_fastcopy_fcopyfile)
    50/41    0.007    0.000    0.012    0.000 threading.py:323(wait)
       64    0.000    0.000    0.012    0.000 indexing.py:882(__setitem__)
       64    0.012    0.000    0.012    0.000 {built-in method posix._fcopyfile}
        8    0.001    0.000    0.012    0.002 popen_spawn_posix.py:38(_launch)
        1    0.000    0.000    0.012    0.012 testing.py:1(<module>)
        1    0.000    0.000    0.012    0.012 kml_generator.py:57(generate_grouped_points_polygons)
        1    0.000    0.000    0.012    0.012 yaml_loader.py:13(load_yaml_parameters)
        1    0.000    0.000    0.012    0.012 omegaconf.py:184(load)
       73    0.001    0.000    0.012    0.000 construction.py:596(_homogenize)
        1    0.000    0.000    0.011    0.011 base_events.py:1(<module>)
        3    0.000    0.000    0.011    0.004 apply.py:1102(wrap_results)
        2    0.000    0.000    0.011    0.005 apply.py:1337(wrap_results_for_axis)
        1    0.000    0.000    0.011    0.011 kml_generator.py:1(<module>)
        2    0.000    0.000    0.010    0.005 apply.py:1358(infer_to_same_shape)
      100    0.000    0.000    0.010    0.000 _parser.py:969(parse)
        2    0.000    0.000    0.010    0.005 format.py:776(_get_formatted_column_labels)
     6780    0.001    0.000    0.010    0.000 format.py:1816(is_number_with_decimal)
        1    0.000    0.000    0.010    0.010 types.py:1(<module>)
      816    0.001    0.000    0.010    0.000 typing.py:1269(__init__)
  432/352    0.000    0.000    0.010    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.010    0.010 _loader.py:1(<module>)
        6    0.000    0.000    0.010    0.002 base.py:1425(_format_flat)
        6    0.000    0.000    0.010    0.002 base.py:1448(_format_with_header)
  332/100    0.001    0.000    0.010    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.010    0.010 grammar_parser.py:1(<module>)
     2489    0.003    0.000    0.010    0.000 expatbuilder.py:733(start_element_handler)
  474/103    0.004    0.000    0.010    0.000 _parser.py:512(_parse)
     1700    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
   174214    0.010    0.000    0.010    0.000 enum.py:1291(value)
     2666    0.010    0.000    0.010    0.000 {built-in method builtins.sorted}
     7074    0.002    0.000    0.010    0.000 __init__.py:164(match)
      128    0.001    0.000    0.010    0.000 multi.py:2183(__getitem__)
        1    0.000    0.000    0.010    0.010 _model_construction.py:1(<module>)
      350    0.001    0.000    0.010    0.000 typing.py:694(Union)
      270    0.001    0.000    0.010    0.000 _decorators.py:363(decorator)
      656    0.001    0.000    0.009    0.000 frame.py:4062(__getitem__)
      939    0.009    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
     2126    0.002    0.000    0.009    0.000 typing.py:175(_type_check)
    65/64    0.000    0.000    0.009    0.000 indexing.py:1785(_setitem_with_indexer)
      235    0.001    0.000    0.009    0.000 dataclasses.py:449(_create_fn)
14021/13957    0.009    0.000    0.009    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.009    0.009 _io.py:1(<module>)
        1    0.000    0.000    0.009    0.009 grammar_visitor.py:1(<module>)
       64    0.000    0.000    0.009    0.000 multi.py:3159(_get_loc_level)
        1    0.000    0.000    0.009    0.009 algorithms.py:1(<module>)
      100    0.000    0.000    0.009    0.000 _compiler.py:578(_code)
      143    0.000    0.000    0.009    0.000 _decorators.py:484(__call__)
        1    0.000    0.000    0.009    0.009 _generate_schema.py:1(<module>)
      195    0.001    0.000    0.008    0.000 multi.py:325(__new__)
        1    0.000    0.000    0.008    0.008 contexts.py:1(<module>)
       40    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:997(exec_module)
      196    0.000    0.000    0.008    0.000 series.py:5136(reindex)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
        3    0.000    0.000    0.008    0.003 numeric.py:1(<module>)
       40    0.007    0.000    0.008    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.008    0.008 tempfile.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _json.py:1(<module>)
        1    0.000    0.000    0.008    0.008 series.py:1(<module>)
        1    0.008    0.008    0.008    0.008 tempfile.py:685(SpooledTemporaryFile)
      404    0.001    0.000    0.008    0.000 indexing.py:1719(_getitem_axis)
      196    0.000    0.000    0.008    0.000 generic.py:5343(reindex)
    17195    0.005    0.000    0.008    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      825    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
2129/1933    0.001    0.000    0.008    0.000 {built-in method builtins.all}
       70    0.000    0.000    0.008    0.000 series.py:5259(drop)
       70    0.000    0.000    0.008    0.000 generic.py:4757(drop)
    149/3    0.000    0.000    0.007    0.002 yaml_loader.py:92(load_csv_to_dict)
       70    0.000    0.000    0.007    0.000 generic.py:4796(_drop_axis)
        3    0.001    0.000    0.007    0.002 yaml_loader.py:56(load_csv_to_tuple_list)
       64    0.001    0.000    0.007    0.000 managers.py:1894(__getstate__)
      339    0.001    0.000    0.007    0.000 format.py:1819(should_trim)
     1305    0.001    0.000    0.007    0.000 pathlib.py:437(__str__)
        1    0.000    0.000    0.007    0.007 rocket.py:1(<module>)
        1    0.000    0.000    0.007    0.007 loader.py:1(<module>)
        9    0.000    0.000    0.007    0.001 util.py:450(spawnv_passfds)
       65    0.000    0.000    0.007    0.000 <frozen codecs>:883(open)
        3    0.000    0.000    0.007    0.002 datetimes.py:1(<module>)
     70/3    0.000    0.000    0.007    0.002 _generate_schema.py:679(generate_schema)
        1    0.000    0.000    0.007    0.007 groupby.py:785(__len__)
        1    0.000    0.000    0.007    0.007 groupby.py:805(groups)
        1    0.000    0.000    0.007    0.007 ops.py:713(groups)
        1    0.000    0.000    0.007    0.007 grouper.py:840(groups)
    142/3    0.000    0.000    0.007    0.002 _generate_schema.py:978(_generate_schema_inner)
      875    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.007    0.007 hmac.py:1(<module>)
      324    0.001    0.000    0.007    0.000 generic.py:6662(copy)
      793    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.007    0.007 ewm.py:1(<module>)
        3    0.000    0.000    0.007    0.002 _generate_schema.py:718(_model_schema)
        1    0.000    0.000    0.007    0.007 jsb_runner.py:1(<module>)
        2    0.000    0.000    0.007    0.003 ATNDeserializer.py:60(deserialize)
      416    0.001    0.000    0.006    0.000 frame.py:3983(_ixs)
     4783    0.005    0.000    0.006    0.000 printing.py:196(as_escaped_string)
       67    0.000    0.000    0.006    0.000 _generate_schema.py:1194(_generate_md_field_schema)
     2489    0.001    0.000    0.006    0.000 expatbuilder.py:786(end_element_handler)
    13981    0.003    0.000    0.006    0.000 generic.py:42(_instancecheck)
       67    0.000    0.000    0.006    0.000 _generate_schema.py:1347(_common_field_schema)
        9    0.006    0.001    0.006    0.001 {built-in method _posixsubprocess.fork_exec}
  843/100    0.002    0.000    0.006    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.006    0.006 describe.py:1(<module>)
      267    0.000    0.000    0.006    0.000 series.py:6509(max)
      655    0.001    0.000    0.006    0.000 frame.py:4626(_get_item_cache)
       85    0.001    0.000    0.006    0.000 typing.py:2888(__new__)
      546    0.003    0.000    0.006    0.000 cast.py:123(maybe_convert_platform)
       64    0.000    0.000    0.006    0.000 indexing.py:1946(_setitem_with_indexer_split_path)
      965    0.000    0.000    0.006    0.000 pathlib.py:447(__fspath__)
       68    0.000    0.000    0.006    0.000 process.py:391(add_call_item_to_queue)
        1    0.000    0.000    0.006    0.006 __init__.py:74(load)
        2    0.000    0.000    0.006    0.003 format.py:1(<module>)
      267    0.000    0.000    0.006    0.000 generic.py:12397(max)
7382/7221    0.004    0.000    0.006    0.000 {built-in method __new__ of type object at 0x104d163f0}
      337    0.000    0.000    0.006    0.000 series.py:6418(_reduce)
        3    0.000    0.000    0.006    0.002 _loader.py:22(get_plugins)
      267    0.000    0.000    0.006    0.000 generic.py:12362(_stat_function)
     1388    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.006    0.006 constructor.py:47(get_single_data)
      475    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
     1267    0.000    0.000    0.006    0.000 missing.py:101(isna)
        2    0.000    0.000    0.006    0.003 _base.py:1(<module>)
       72    0.001    0.000    0.006    0.000 common.py:664(get_handle)
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
       64    0.000    0.000    0.005    0.000 indexing.py:2111(_setitem_single_column)
      573    0.001    0.000    0.005    0.000 pathlib.py:551(drive)
        1    0.000    0.000    0.005    0.005 composer.py:29(get_single_node)
     1267    0.001    0.000    0.005    0.000 missing.py:184(_isna)
        1    0.000    0.000    0.005    0.005 abstractview.py:1(<module>)
        1    0.000    0.000    0.005    0.005 composer.py:50(compose_document)
    150/1    0.000    0.000    0.005    0.005 composer.py:63(compose_node)
        1    0.000    0.000    0.005    0.005 CommonTokenStream.py:1(<module>)
      4/1    0.000    0.000    0.005    0.005 composer.py:117(compose_mapping_node)
    47271    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     4978    0.003    0.000    0.005    0.000 expatbuilder.py:114(_parse_ns_name)
     6000    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        3    0.000    0.000    0.005    0.002 errors.py:1(<module>)
      132    0.001    0.000    0.005    0.000 multi.py:3308(_get_level_indexer)
        1    0.000    0.000    0.005    0.005 Lexer.py:1(<module>)
        1    0.000    0.000    0.005    0.005 take.py:1(<module>)
        2    0.000    0.000    0.005    0.003 categorical.py:1(<module>)
      5/4    0.000    0.000    0.005    0.001 _migration.py:249(getattr_migration)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
     3255    0.002    0.000    0.005    0.000 generic.py:6301(__setattr__)
       64    0.000    0.000    0.005    0.000 multi.py:3165(maybe_mi_droplevels)
     1700    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
       75    0.000    0.000    0.005    0.000 accessor.py:3048(len)
      510    0.001    0.000    0.005    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.005    0.005 OmegaConfGrammarLexer.py:1(<module>)
        2    0.000    0.000    0.005    0.002 dtypes.py:1(<module>)
        1    0.000    0.000    0.005    0.005 OmegaConfGrammarLexer.py:258(OmegaConfGrammarLexer)
        1    0.000    0.000    0.005    0.005 readers.py:1(<module>)
        3    0.000    0.000    0.005    0.002 accessor.py:1(<module>)
      403    0.000    0.000    0.005    0.000 parser.py:94(check_event)
     2331    0.001    0.000    0.005    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
    72/67    0.000    0.000    0.005    0.000 _generate_schema.py:2241(_apply_annotations)
        1    0.000    0.000    0.005    0.005 string_.py:1(<module>)
        1    0.000    0.000    0.005    0.005 omegaconf.py:172(create)
      267    0.000    0.000    0.005    0.000 nanops.py:111(f)
        1    0.000    0.000    0.005    0.005 omegaconf.py:818(_create_impl)
      464    0.000    0.000    0.005    0.000 __init__.py:179(sub)
      4/1    0.000    0.000    0.005    0.005 dictconfig.py:62(__init__)
      4/1    0.000    0.000    0.005    0.005 dictconfig.py:641(_set_value)
      4/1    0.000    0.000    0.005    0.005 dictconfig.py:649(_set_value_impl)
        2    0.000    0.000    0.005    0.002 construction.py:1(<module>)
     66/3    0.000    0.000    0.005    0.002 dictconfig.py:306(__setitem__)
     66/3    0.000    0.000    0.005    0.002 dictconfig.py:316(__set_impl)
     83/3    0.000    0.000    0.005    0.002 basecontainer.py:524(_set_item_impl)
        1    0.000    0.000    0.005    0.005 frame.py:509(DataFrame)
        3    0.000    0.000    0.005    0.002 ops.py:1(<module>)
     83/3    0.000    0.000    0.005    0.002 basecontainer.py:622(_wrap_value_and_set)
     83/3    0.000    0.000    0.005    0.002 omegaconf.py:1091(_maybe_wrap)
     83/3    0.000    0.000    0.005    0.002 omegaconf.py:994(_node_wrap)
        1    0.000    0.000    0.005    0.005 __init__.py:41(__getattr__)
      267    0.000    0.000    0.005    0.000 nanops.py:389(new_func)
      471    0.001    0.000    0.004    0.000 base.py:5552(equals)
        1    0.000    0.000    0.004    0.004 message.py:1(<module>)
      267    0.000    0.000    0.004    0.000 nanops.py:1083(reduction)
     1445    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
        6    0.000    0.000    0.004    0.001 common.py:1(<module>)
        1    0.000    0.000    0.004    0.004 masked.py:1(<module>)
        2    0.000    0.000    0.004    0.002 process.py:1(<module>)
       45    0.000    0.000    0.004    0.000 __init__.py:469(entry_points)
     5440    0.002    0.000    0.004    0.000 typing.py:1215(__setattr__)
       70    0.000    0.000    0.004    0.000 base.py:7031(drop)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
   144/67    0.000    0.000    0.004    0.000 _schema_generation_shared.py:82(__call__)
    72/67    0.000    0.000    0.004    0.000 _generate_schema.py:2351(new_handler)
      143    0.000    0.000    0.004    0.000 base.py:3820(get_indexer)
      811    0.000    0.000    0.004    0.000 typing.py:892(__init__)
        1    0.000    0.000    0.004    0.004 LexerATNSimulator.py:1(<module>)
     7204    0.002    0.000    0.004    0.000 inference.py:373(is_sequence)
