Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,parachute_deploy_gain,Wind Speed,Mach,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Acceleration
116.16,40.24846334325147,139.9844456804109,1952.5439881059856,1.6562885960753135,-1.0189957301409212,-722.6447620417562,7.837944890209989,-12.972428094659072,0.0,22.02684092505605,6.318588202799969,-58.54175908496623,2.581340934226376,107.7065146888976,245.34919575262848,1.0,6.293556066062709,0.0662028543908715,1.9445706350580896,21.26356279828818,21.866785887948232,722.8036866101054
116.17,40.2484627829471,139.9844455134002,1952.3237198512409,2.1759765914876557,-0.9614904131583132,-692.1051430429084,130.2558061554556,-211.67634810048645,0.0,22.026597468090277,6.318471451455759,-60.21619461931043,19.00687067975263,98.85264399886226,245.34919604707756,1.0,6.293437347526405,0.066201950728046,2.37884287650098,21.36567040705271,21.87557399563025,735.3794805464798
116.18,40.24846222265302,139.98444534639265,1952.10345403094,2.6047595294300674,-0.8346134080270896,-583.7297404365858,247.01027400736007,-394.34173141670806,0.0,22.0263540177648,6.318354690169008,-65.2172205358836,35.23389917166571,88.00860191579453,245.349196341768,1.0,6.2933186303013935,0.0662010470922069,2.735118239960371,21.53800697608716,21.895257886537717,746.4984169253689
116.19,40.248461662369216,139.98444517938816,1951.883190645084,2.9465177910729374,-0.668991587122223,-404.74245959911366,342.4961533306765,-537.4455345235165,0.0,22.026110574079414,6.318237918989594,-76.31993726456824,50.29052030926191,71.84798669212277,245.3491966367002,1.0,6.293199914389273,0.0662001434833535,3.021443731375767,21.74490842754454,21.92102800902294,754.9621025110589
116.2,40.2484611020957,139.98444501238674,1951.662929693672,-3.047348074482391,-0.4883407642671667,-174.1296498646317,402.2410730137182,-620.664911090245,0.0,22.02586713703399,6.318121137967132,-100.1331099787066,61.494384032915015,43.399805193237015,245.3491969318756,1.0,6.2930811997885785,0.066199239901485,3.086192165065162,21.937992198658467,21.949159677893142,759.8315258265271
116.21,40.24846054183248,139.98444484538845,1951.4426711767048,-2.7817835713266046,-0.309342778492927,79.36421367342962,416.1887866979208,-631.609872605388,0.0,22.02562370662834,6.318004347151095,-137.76291245568964,63.001173049554666,1.2846888086034252,245.34919722729524,1.0,6.292962486501718,0.0661983363466004,2.79891721748549,22.082869133947455,21.977032492681637,760.5542819271243
116.22,40.248459981579536,139.9844446783932,1951.222415094182,-2.5208116960736073,-0.145550713052337,322.3665233905886,381.2461620223707,-569.0767317683499,0.0,22.025380282862304,6.317887546590657,-165.7913152690106,53.53929514970782,328.67674224996676,245.34919752296,1.0,6.292843774525203,0.0661974328186991,2.5250075140809827,22.21640505069141,22.00251725491024,757.0450040122245
116.23,40.24845942133689,139.98444451140102,1951.002161444968,-2.2527194325391884,-0.0095439111809217,523.6227338921623,302.065357864591,-443.4241230459343,0.0,22.02513686573562,6.317770736334908,-179.2272993718498,39.03001655388947,310.3046712422437,245.3491978188968,1.0,6.292725063861323,0.0661965293177789,2.2527396389818257,22.324717577672217,22.02363771167993,749.6994069422901
116.24,40.24845886110453,139.98444434441194,1950.7819102301985,-1.972870908433075,0.0869083558889093,660.0055763063414,189.7555844370243,-273.87233303102647,0.0,22.024893455248183,6.317653916432609,174.65656142698737,22.9176890485505,298.5599962741286,245.3491981150806,1.0,6.292606354508348,0.0661956258438402,1.97478345606879,22.39587251779002,22.0385449826331,739.3379453134811
116.25,40.24845830088246,139.98444417742596,1950.5616614498736,-1.684429813955804,0.1344732750518897,719.816582909917,59.120291308868865,-83.85960031436804,0.0,22.02465005139983,6.3175370869322425,172.3098357188655,6.434018446482998,289.3951179780538,245.34919841151208,1.0,6.292487646468674,0.0661947223968821,1.6897874570078435,22.42113137057707,22.045773044657807,727.0925349922392
116.26,40.24845774067068,139.98444401044304,1950.3414151051284,-1.3971584964815973,0.1288191457370728,702.7539034882161,-74.45067938481483,103.74788688852895,0.0,22.02440665419035,6.317420247882254,172.57429759121896,-9.873462095030913,280.82396945378485,245.34919870816387,1.0,6.292368939740161,0.0661938189769046,1.403083371472437,22.396958395871323,22.04464150123717,714.2615603283019
