time,thrust
0.584,1.244219
0.585,0
0.586,2.488437
0.587,4.976875
0.588,9.33164
0.589,11.197968
0.59,0
0.591,0
0.592,0
0.593,8.087421
0.594,0
0.595,2.488437
0.596,0
0.597,7.465312
0.598,8.709531
0.599,9.33164
0.6,6.221094
0.601,6.843203
0.602,4.354765
0.603,0
0.604,1.244219
0.605,11.820078
0.606,0
0.607,1.244219
0.608,8.709531
0.609,0
0.61,6.221094
0.611,6.221094
0.612,3.732656
0.613,0
0.614,0
0.615,0
0.616,2.488437
0.617,0
0.618,4.976875
0.619,9.33164
0.62,4.354765
0.621,3.732656
0.622,1.866328
0.623,1.244219
0.624,3.110547
0.625,4.976875
0.626,1.866328
0.627,1.866328
0.628,0
0.629,5.598984
0.63,0
0.631,4.976875
0.632,2.488437
0.633,0
0.634,3.732656
0.635,2.488437
0.636,8.709531
0.637,0
0.638,1.244219
0.639,0
0.64,0
0.641,1.244219
0.642,1.244219
0.643,0.622109
0.644,13.064297
0.645,6.843203
0.646,3.110547
0.647,0.622109
0.648,0
0.649,0.622109
0.65,1.866328
0.651,0
0.652,8.709531
0.653,1.866328
0.654,0
0.655,0
0.656,2.488437
0.657,0
0.658,6.221094
0.659,7.465312
0.66,3.110547
0.661,1.244219
0.662,9.33164
0.663,0
0.664,3.732656
0.665,0
0.666,11.820078
0.667,6.221094
0.668,7.465312
0.669,3.110547
0.67,8.087421
0.671,1.866328
0.672,9.95375
0.673,13.064297
0.674,13.064297
0.675,0
0.676,0.622109
0.677,1.244219
0.678,0
0.679,7.465312
0.68,0
0.681,4.354765
0.682,7.465312
0.683,1.866328
0.684,0
0.685,0
0.686,2.488437
0.687,6.221094
0.688,6.221094
0.689,3.732656
0.69,0
0.691,5.598984
0.692,1.866328
0.693,6.221094
0.694,1.866328
0.695,0
0.696,8.087421
0.697,8.709531
0.698,0
0.699,3.110547
0.7,6.843203
0.701,7.465312
0.702,4.354765
0.703,0
0.704,2.488437
0.705,0
0.706,0
0.707,9.33164
0.708,5.598984
0.709,12.442187
0.71,5.598984
0.711,1.244219
0.712,0
0.713,0
0.714,2.488437
0.715,8.709531
0.716,1.244219
0.717,8.709531
0.718,11.820078
0.719,0
0.72,2.488437
0.721,10.575859
0.722,0
0.723,14.308516
0.724,1.244219
0.725,5.598984
0.726,6.221094
0.727,0
0.728,3.110547
0.729,9.95375
0.73,6.843203
0.731,0.622109
0.732,0
0.733,0
0.734,12.442187
0.735,7.465312
0.736,0
0.737,0
0.738,1.866328
0.739,0.622109
0.74,0
0.741,3.732656
0.742,3.732656
0.743,0
0.744,0
0.745,4.354765
0.746,10.575859
0.747,6.843203
0.748,0
0.749,1.244219
0.75,9.95375
0.751,0
0.752,0.622109
0.753,0
0.754,0
0.755,1.866328
0.756,0
0.757,8.709531
0.758,9.33164
0.759,0
0.76,3.110547
0.761,0
0.762,0
0.763,0
0.764,0
0.765,0
0.766,9.95375
0.767,0
0.768,8.087421
0.769,2.488437
0.77,3.732656
0.771,0
0.772,7.465312
0.773,0
0.774,0
0.775,0
0.776,6.843203
0.777,0
0.778,0
0.779,4.976875
0.78,0
0.781,0
0.782,0
0.783,0
0.784,0
0.785,0
0.786,6.221094
0.787,0.622109
0.788,9.33164
0.789,0
0.79,0
0.791,6.843203
0.792,3.110547
0.793,0
0.794,1.866328
0.795,2.488437
0.796,3.110547
0.797,3.732656
0.798,6.221094
0.799,7.465312
0.8,0
0.801,0
0.802,4.976875
0.803,0.622109
0.804,7.465312
0.805,0
0.806,2.488437
0.807,4.354765
0.808,5.598984
0.809,6.221094
0.81,4.354765
0.811,0
0.812,8.709531
0.813,1.244219
0.814,0
0.815,0.622109
0.816,6.221094
0.817,7.465312
0.818,4.976875
0.819,3.110547
0.82,3.732656
0.821,0
0.822,0
0.823,3.732656
0.824,0
0.825,3.732656
0.826,7.465312
0.827,10.575859
0.828,8.709531
0.829,4.354765
0.83,14.930624
0.831,9.33164
0.832,3.110547
0.833,8.087421
0.834,0.622109
0.835,10.575859
0.836,8.087421
0.837,4.354765
0.838,4.976875
0.839,6.843203
0.84,7.465312
0.841,8.709531
0.842,9.33164
0.843,9.95375
0.844,3.732656
0.845,3.110547
0.846,1.866328
0.847,3.110547
0.848,0
0.849,11.820078
0.85,5.598984
0.851,1.866328
0.852,10.575859
0.853,0
0.854,6.221094
0.855,0
0.856,0
0.857,9.95375
0.858,6.221094
0.859,0
0.86,0
0.861,0
0.862,13.064297
0.863,8.087421
0.864,8.087421
0.865,1.244219
0.866,7.465312
0.867,2.488437
0.868,5.598984
0.869,3.110547
0.87,0.622109
0.871,6.843203
0.872,0
0.873,4.354765
0.874,1.244219
0.875,0
0.876,0.622109
0.877,8.087421
0.878,4.354765
0.879,0
0.88,14.930624
0.881,10.575859
0.882,4.354765
0.883,15.552733
0.884,3.732656
0.885,0
0.886,8.709531
0.887,1.866328
0.888,10.575859
0.889,19.285391
0.89,14.930624
0.891,8.709531
0.892,12.442187
0.893,3.110547
0.894,9.95375
0.895,9.33164
0.896,8.087421
0.897,6.843203
0.898,4.976875
0.899,9.33164
0.9,0
0.901,16.174843
0.902,13.686406
0.903,11.197968
0.904,20.529608
0.905,13.064297
0.906,14.308516
0.907,18.041172
0.908,23.018045
0.909,12.442187
0.91,17.419062
0.911,37.948669
0.912,30.483358
0.913,18.041172
0.914,25.506483
0.915,29.23914
0.916,34.216015
0.917,55.367733
0.918,133.75351
0.919,183.522263
0.92,207.784531
0.921,157.393661
0.922,100.159607
0.923,39.19289
0.924,60.344608
0.925,67.809921
0.926,64.699371
0.927,57.234062
0.928,69.676247
0.929,69.054138
0.93,76.519447
0.931,110.113358
0.932,136.864059
0.933,169.213745
0.934,177.923279
0.935,160.504211
0.936,140.59671
0.937,130.64296
0.938,130.64296
0.939,130.020859
0.94,118.200775
0.941,129.398743
0.942,128.154526
0.943,141.840927
0.944,138.730392
0.945,144.951477
0.946,149.92836
0.947,171.080078
0.948,181.033829
0.949,180.411713
0.95,174.812729
0.951,200.319214
0.952,216.494049
0.953,240.134216
0.954,240.756317
0.955,250.087967
0.956,279.327087
0.957,278.704987
0.958,286.170288
0.959,285.548187
0.96,317.897888
0.961,318.519989
0.962,321.008423
0.963,343.404358
0.964,332.828491
0.965,344.64859
0.966,332.20639
0.967,370.15506
0.968,373.887726
0.969,375.754059
0.97,390.062561
0.971,365.178192
0.972,383.21936
0.973,380.108826
0.974,393.795227
0.975,403.748962
0.976,405.615295
0.977,409.970062
0.978,423.656464
0.979,419.923828
0.98,419.923828
0.981,426.144897
0.982,436.720764
0.983,451.029266
0.984,464.093567
0.985,459.7388
0.986,463.471466
0.987,474.669434
0.988,474.047333
0.989,482.756866
0.99,507.641235
0.991,498.931702
0.992,518.839172
0.993,528.170837
0.994,541.857239
0.995,546.834106
0.996,531.281372
0.997,542.47937
0.998,561.764771
0.999,553.677307
1,548.700439
1.001,556.165771
1.002,571.096375
1.003,581.672241
1.004,576.695374
1.005,584.160706
1.006,597.847107
1.007,594.736572
1.008,575.451172
1.009,597.224976
1.01,604.690308
1.011,595.358643
1.012,591.003906
1.013,599.091309
1.014,611.533508
1.015,621.487244
1.016,632.06311
1.017,643.261047
1.018,636.417847
1.019,647.615845
1.02,652.592712
1.021,654.459045
1.022,666.901245
1.023,672.500183
1.024,671.878113
1.025,659.435913
1.026,673.122314
1.027,683.07605
1.028,688.675049
1.029,690.541382
1.03,696.140381
1.031,708.582581
1.032,719.158386
1.033,719.780518
1.034,735.333252
1.035,735.333252
1.036,732.222717
1.037,759.59552
1.038,773.281921
1.039,790.078857
1.04,784.479919
1.041,793.189453
1.042,784.479919
1.043,803.143188
1.044,830.515991
1.045,839.225525
1.046,804.38739
1.047,838.603394
1.048,845.446594
1.049,846.690857
1.05,864.731995
1.051,859.755127
1.052,877.796326
1.053,897.703796
1.054,902.680664
1.055,900.814331
1.056,910.768066
1.057,940.007263
1.058,920.721863
1.059,915.744995
1.06,914.500732
1.061,956.182068
1.062,966.135803
1.063,932.541931
1.064,934.408264
1.065,949.960999
1.066,979.822205
1.067,973.601135
1.068,966.135803
1.069,1027.102539
1.07,999.107605
1.071,963.6474
1.072,994.752869
1.073,977.333801
1.074,995.374939
1.075,995.99707
1.076,986.043335
1.077,1025.236206
1.078,982.310669
1.079,954.937866
1.08,1004.706604
1.081,994.130737
1.082,1035.812134
1.083,1036.434204
1.084,1017.148804
1.085,1027.102539
1.086,1005.328735
1.087,1014.660339
1.088,1042.033203
1.089,1019.637207
1.09,1045.765869
1.091,1025.236206
1.092,1037.056274
1.093,1023.992004
1.094,1023.369873
1.095,1032.701538
1.096,1034.567871
1.097,1046.387939
1.098,1047.632202
1.099,1055.097412
1.1,1052.609009
1.101,1044.521606
1.102,1056.963745
1.103,1076.249146
1.104,1052.609009
1.105,1040.78894
1.106,1084.95874
1.107,1069.406006
1.108,1052.609009
1.109,1057.585938
1.11,1088.691406
1.111,1065.67334
1.112,1060.074341
1.113,1084.336548
1.114,1093.668213
1.115,1087.447144
1.116,1084.336548
1.117,1097.400879
1.118,1086.202881
1.119,1094.290405
1.12,1099.889282
1.121,1076.871338
1.122,1093.668213
1.123,1080.604004
1.124,1099.267212
1.125,1124.773682
1.126,1111.709473
1.127,1103.621948
1.128,1121.663208
1.129,1120.418945
1.13,1113.575684
1.131,1126.017944
1.132,1142.814941
1.133,1134.105347
1.134,1118.552612
1.135,1133.483276
1.136,1128.506348
1.137,1155.25708
1.138,1134.105347
1.139,1137.838013
1.14,1156.501343
1.141,1150.280151
1.142,1140.948608
1.143,1163.966553
1.144,1170.809814
1.145,1144.681152
1.146,1157.123413
1.147,1190.717285
1.148,1167.077148
1.149,1190.095215
1.15,1186.362549
1.151,1176.408813
1.152,1161.478149
1.153,1175.164551
1.154,1188.850952
1.155,1194.449951
1.156,1190.717285
1.157,1201.293213
1.158,1212.491089
1.159,1188.228882
1.16,1193.827881
1.161,1201.293213
1.162,1210.624756
1.163,1208.136353
1.164,1221.822754
1.165,1213.113281
1.166,1224.311157
1.167,1218.71228
1.168,1221.200684
1.169,1241.108154
1.17,1221.822754
1.171,1226.799683
1.172,1234.887085
1.173,1231.776489
1.174,1245.462891
