x,y,z
-0.1092007780339314,-1.337323832836547e-17,0.5617893011815439
-0.11178214357250597,-1.3689364432789934e-17,0.575069275629705
-0.11439850986984093,-1.400977689393276e-17,0.588529313371909
-0.11704993132387242,-1.433448237361979e-17,0.6021696942612765
-0.11973646235462314,-1.4663487536381678e-17,0.6159906982645539
-0.12245817152831011,-1.499680077915825e-17,0.6299926781243487
-0.1252151838278694,-1.5334437407944764e-17,0.6441762768221259
-0.12800763844104734,-1.567641446832403e-17,0.6585422104167653
-0.1308356745554283,-1.6022749005859008e-17,0.673091194966313
-0.13369943140096288,-1.6373458071301038e-17,0.6878239467467706
-0.136599048946652,-1.6728558805909007e-17,0.7027411858362235
-0.13953466956459218,-1.708806864523615e-17,0.7178436446756128
-0.14250643665954452,-1.745200515130063e-17,0.7331320610184782
-0.14551449355033513,-1.7820385875596615e-17,0.748607172176262
-0.1485589859426936,-1.8193228661929656e-17,0.7642697277399614
-0.15164002557130682,-1.8570547193852382e-17,0.7801203025347068
-0.15475762566718154,-1.8952343091695823e-17,0.7961589646281284
-0.15791177414504518,-1.9338614875440943e-17,0.8123856518468883
-0.1611024584094163,-1.9729361002586137e-17,0.828800299392852
-0.16432966121681433,-2.0124579361414067e-17,0.8454028185560021
-0.1675934007831298,-2.0524272182727946e-17,0.8621933030489715
-0.17089380178915106,-2.0928454735520607e-17,0.8791723942988106
-0.1742310203588182,-2.1337146139460408e-17,0.8963408954935623
-0.17760521162912254,-2.175036539334932e-17,0.9136996047438584
-0.18101653120380215,-2.216813155314933e-17,0.9312493225615345
-0.1844651346952226,-2.2590463675878975e-17,0.9489908495028109
-0.18795117771281689,-2.3017380818197656e-17,0.9669249861088208
-0.1914748158831654,-2.344890203886473e-17,0.9850525330089135
-0.19503620486614148,-2.388504640071676e-17,1.0033742910037156
-0.1986355032066789,-2.4325833319908314e-17,1.0218910757362025
-0.20227281951055334,-2.477127609681094e-17,1.0406034459346543
-0.2059480650350083,-2.5221363863571378e-17,1.0595109450571658
-0.20966111852199462,-2.567608177036145e-17,1.0786129492851542
-0.21341185283202346,-2.613541424708435e-17,1.0979088045426508
-0.21720014074286903,-2.659934571351092e-17,1.1173978563280436
-0.22102588626328348,-2.7067864414103703e-17,1.1370796108091725
-0.22488911701087197,-2.7540973731043894e-17,1.156954210066299
-0.2287898916878912,-2.801868085328456e-17,1.1770219560963537
-0.2327282690402058,-2.850099297511921e-17,1.1972831511206101
-0.23670431064566755,-2.898791763765975e-17,1.2177381119296535
-0.24071807238940288,-2.94794616848603e-17,1.2383871260275352
-0.24476962887382797,-2.997563425288189e-17,1.2592305772104149
-0.24885905537641562,-3.047644456055612e-17,1.2802688527473176
-0.2529864267423001,-3.0981901773768404e-17,1.3015023376830792
-0.25715181786607416,-3.1492015064461074e-17,1.3229314173169784
-0.26135528771868544,-3.2006791654492386e-17,1.3445563950282409
-0.26559683415768603,-3.2526231281488076e-17,1.366377259794926
-0.2698764391391131,-3.3050331735700036e-17,1.388393918788893
-0.2741940846070428,-3.357909080591536e-17,1.4106062791204668
-0.278549752457872,-3.411250627508207e-17,1.4330142476546828
-0.2829434438538754,-3.465057828553775e-17,1.455617830370926
-0.28737523367984735,-3.519331600802479e-17,1.4784174125180665
-0.29184521930145674,-3.5740731366398645e-17,1.5014134949990467
-0.29635349485936596,-3.629283588956543e-17,1.5246065621255893
-0.3009001556066287,-3.6849641242659834e-17,1.547997103932174
-0.3054852770590928,-3.741115667370605e-17,1.57158550891416
-0.31010885678309813,-3.797738188466662e-17,1.5953717645514502
-0.3147708726498015,-3.8548314165539866e-17,1.6193557570010166
-0.31947130251272754,-3.9123950804164756e-17,1.6435373723291191
-0.32421012419080736,-3.97042890841438e-17,1.6679164964240516
-0.32898734671316393,-4.0289330111225666e-17,1.6924931757366253
-0.333803103185545,-4.0879090186163127e-17,1.7172680950365484
-0.338657557553846,-4.1473589386537793e-17,1.742242097752336
-0.3435508738591303,-4.207284780158599e-17,1.7674160278020992
-0.34848321622071093,-4.267688553012685e-17,1.7927907295065093
-0.35345471282636115,-4.3285718270635005e-17,1.8183668623344897
-0.35846534983344797,-4.389934432787682e-17,1.8441443550718677
-0.363515075587202,-4.45177573759675e-17,1.8701229419778915
-0.3686038399416717,-4.5140951273799145e-17,1.8963023650740054
-0.3737315896639702,-4.5768919502223314e-17,1.922682350500747
-0.3788982952327808,-4.640165844592139e-17,1.9492627463841077
-0.3841039735793427,-4.703917017837215e-17,1.976043639827762
-0.3893486592794745,-4.768145893389218e-17,2.0030252087088773
-0.3946323869031875,-4.832852894608685e-17,2.0302076308747434
-0.3999551910938605,-4.8980384457546425e-17,2.057591084550094
-0.4053170959484735,-4.963702841929988e-17,2.0851756937031456
-0.4107180856780766,-5.02984588977585e-17,2.11296137710679
-0.4161581340996324,-5.096467268642499e-17,2.1409480000609777
-0.4216372150475691,-5.163566658094098e-17,2.1691354279555117
-0.4271553022383508,-5.2311437362501655e-17,2.197523525573322
-0.43271235820611254,-5.299198044286186e-17,2.2261121001692423
